dmel	dsim
CG32276	GD13346
CG32147	GD12571
CG31517	GD18938
CG32235	GD13225
BG642312	GD13134
CG32148	GD14519
CG31468	GD18362
CG30001	GD10051
CG30008	GD10696
CG30010	GD10691
gem	GD10717
CG30015	GD25949
CG30016	GD28490
mthl13	GD27836
CG30020	GD27100
metro	GD25940
CG30022	GD28368
CG30026	GD29416
CG30033	GD10787
Tret1-1	GD10807
CG30037	GD25872
CG30039	GD25865
Cpr49Ab	GD10871
CG30043	GD10864
s-cup	GD10894
Cpr49Aa	GD10870
CG30046	GD15625
CG30047	GD10862
CG30048	GD10875
CG30049	GD10863
CG30050	GD10880
Tmem18	GD10887
Obp49a	Obp49a
CG30053	GD25819
CG30054	GD10905
CG30056	GD29421
CG30058	GD25783
CG30062	GD26938
CG30065	GD15411
Obp50a	Obp50a
CG30069	GD11029
Obp50b	Obp50b
CG30075	GD11049
CG30076	GD25676
Blos1	GD11063
CG30080	GD25601
CG30082	GD25604
CG30083	GD25600
Rif1	GD25592
CG30087	GD11135
CG30088	GD11134
CG30089	GD11138
CG30090	GD11133
CG30091	GD11131
COX6AL	GD11145
CG30094	GD11165
CG30095	GD11162
CG30096	GD25546
CG30098	GD25541
CG30099	GD25548
CG30100	GD27314
CG30101	GD25483
CG30103	GD11275
CG30105	GD25458
CCHa1-R	GD25454
CG30108	GD11300
CG30109	GD11301
CG30110	GD25431
GEFmeso	GD25385
CG30120	GD11386
CG30122	GD25377
Ir56a	GD25339
Hil	GD25265
CG30148	GD25276
CG30151	GD25278
CG30154	GD11520
CG30156	GD10282
CG30157	GD10285
CG30158	GD10434
CG30159	GD10440
CG30161	GD24930
Cpr60D	GD24931
Brca2	GD11868
CG30172	GD24980
CG30177	GD11796
CG30178	GD27908
ppk3	GD15200
CG30183	GD25024
CG30184	GD11778
AIMP3	GD11773
CG30192	GD11741
CG30195	GD25115
CG30196	GD25112
CG30197	GD11059
CG30203	GD10853
CG30222	GD11604
CG30259	GD25108
stum	GD11615
CG30268	GD11699
CG30269	GD11691
MFS1	GD11710
CG30273	GD11689
CG30275	GD11697
Oatp58Da	GD28924
CG30278	GD27937
CG30280	GD11644
CG30281	GD11645
CG30285	GD25174
CG30286	GD25192
CG30287	GD25191
CG30288	GD25194
CG30289	GD25193
Ppcdc	GD11620
CG30291	GD25236
Cht12	GD25229
Ipk1	GD11544
RIC-3	GD11556
CG30323	GD15437
CG30324	GD25549
CG30325	GD25432
CG30334	GD25838
CG30338	GD10669
CG30339	GD10061
CG30340	GD10062
Prp38	GD10637
CG30343	GD17893
CG30344	GD10638
CG30345	GD10640
CG30349	GD10611
CG30350	GD10604
CG30355	GD10148
CG30356	GD10139
CG30357	GD29020
Mal-A5	GD10567
Mal-A6	Mal-A6
mtt	GD15273
cola	GD15279
hubl	GD15283
spaw	GD15285
swif	GD15280
CG30369	GD10553
CG30371	GD15286
Asap	GD27138
CG30373	GD10179
CG30375	GD10173
CG30376	GD10174
CG30378	GD10525
CG30379	GD10520
CG30380	GD10209
PIG-X	GD10211
CG30383	GD29433
CG30384	GD10465
CG30385	GD10463
CG30389	GD29289
Sgf29	GD25209
CG30392	GD25210
CG30394	GD25204
CG30395	GD27222
CG30398	GD11623
dany	GD25155
CG30403	GD25170
Tango11	GD25169
Rpi	GD11753
CG30411	GD11761
CG30412	GD25064
CG30413	GD25061
CG30414	GD25055
CG30416	GD25063
tbrd-3	GD25062
nord	GD11846
CG30419	GD24967
Usp15-31	GD11892
CG30423	GD24911
CG30428	GD11923
CG30429	GD11922
CG30431	GD10401
CG30432	GD10330
CG30438	GD10375
CG30441	GD10361
Opbp	GD10413
Tdc2	GD10312
CG30447	GD11486
CG30456	GD11248
CG30458	GD25488
CG30460	GD25497
CG30461	GD25505
ste24c	GD15221
CG30463	GD25523
CG30466	GD11130
CG30467	GD11124
ave	GD11074
CG30480	GD28283
mRpL53	GD10993
CG30484	GD17898
CG30485	GD10989
CG30486	GD25808
CG30487	GD25801
antr	GD25809
CG30491	GD10497
CG30493	GD28103
CG30495	GD10498
CG30496	GD29071
CG30497	GD10222
CG30499	GD10239
fa2h	GD10257
CG30503	kappaB-Ras
mesh	GD16568
qless	GD16491
CG31007	GD16686
CG31008	GD16697
CG31010	GD16869
CG31013	GD16913
PH4alphaSG1	GD17002
PH4alphaPV	GD16902
CG31016	GD21537
PH4alphaNE3	GD21536
CG31019	GD21534
CG31021	GD21535
Ppi1	GD17344
CG31028	GD17268
CG31029	GD17333
CG31030	GD17279
CG31036	GD21481
CG31038	GD21478
Cog7	GD17535
CG31041	GD17724
CG31050	GD18023
CG31051	GD18033
CG31055	GD18064
CG31064	GD18085
ppk31	GD29593
CG31068	GD15133
Lerp	GD18117
CG31075	GD18107
CG31076	GD28604
CG31077	GD21320
TwdlH	GD21294
TwdlR	GD21295
CG31087	GD18209
CG31088	GD17781
CG31089	GD21247
CG31091	GD21246
CG31093	GD18166
CG31098	GD18215
CG31099	GD18210
CG31100	GD20830
CG31102	GD18214
CG31103	GD21187
ppk22	GD18259
CG31106	GD21186
CG31108	GD18234
CG31109	GD18242
CG31111	GD18240
CG31115	GD21159
ClC-a	GD20633
RabX4	GD18265
HDAC11	GD18261
CG31121	GD18254
CG31122	GD28642
CG31125	GD18278
CG31126	GD21119
Slimp	GD18320
CG31139	GD18425
CG31140	GD21050
CG31141	GD21043
CG31145	GD18367
Nlg1	GD19942
Gba1a	GD21027
wge	GD18436
Rpb7	GD20374
CG31156	GD18443
CG31157	GD18879
Efa6	GD20966
mRRF2	GD20968
CG31161	GD28658
SKIP	GD20929
Ir94a	GD15174
CG31174	GD18495
CG31176	GD19967
CG31183	GD20320
LSm3	GD21053
CG31189	GD20018
CG31191	GD20022
CG31195	GD20036
CG31198	GD20894
CG31199	GD20039
CG31200	GD20038
GluRIIE	GD20047
alpha-Man-Ic	GD17544
CG31204	GD16458
CG31205	GD19368
CG31206	GD20078
CG31211	GD18789
CG31213	GD19326
Naam	GD19309
modSP	GD20271
CG31219	GD19306
CG31220	GD19305
CG31221	GD19292
CG31223	GD19376
CG31224	GD20159
Ir94f	GD21017
CG31226	GD20149
CG31229	GD19241
CG31230	GD27461
CG31231	GD19239
CG31233	GD20893
CG31235	GD20180
CG31244	GD20114
CG31245	GD20116
CG31248	GD29244
CG31249	GD15096
CG31251	GD15097
CG31262	GD20243
CG31265	GD19141
CG31266	GD19142
CG31267	GD19143
CG31269	GD19140
CG31272	GD20707
CG31278	GD20713
CG31279	GD19095
Tpl94D	GD20990
CG31286	GD19885
CG31287	GD19081
CG31288	GD18212
CG31294	GD20333
CG31296	GD20339
CG31301	GD19015
CG31313	GD20414
HEATR2	GD20426
CG31321	GD18954
CG31323	GD21273
CG31324	GD21271
CG31326	GD20443
CG31337	GD20491
CG31342	GD18868
CG31343	GD20892
CG31344	GD20373
CG31345	GD20539
CG31347	GD20548
CG31357	GD18264
CG31358	GD20608
dpr17	GD18801
Jupiter	GD20653
CG31365	GD18405
CG31368	GD18787
CG31370	GD21211
CG31371	GD17013
CG31373	GD20712
sals	GD20658
CG31380	GD18167
CG31388	GD20674
MED7	GD20706
CG31404	GD20117
CG31406	GD18689
CG31407	GD20742
Npc2e	GD18662
CG31413	GD21029
Gba1b	GD21030
Ir94c	GD18479
Ir94b	GD17955
CG31431	GD20901
CG31437	GD21216
CheB93b	GD19426
Muc96D	GD28401
CG31441	GD20673
CG31445	GD17862
CG31446	GD19036
mRpS18A	GD20860
pch2	GD20861
CG31457	GD18404
CG31459	GD19315
CG31460	GD18549
CG31463	GD18533
CG31464	GD18532
CG31465	GD20907
CG31469	GD20478
sgll	GD19951
CG31473	GD19952
CG31475	GD19277
ATPsynepsilonL	GD18671
pb	GD19525
CG31482	GD19881
CG31493	GD19914
CG31495	GD20472
CG31496	GD19930
nxf4	GD19931
CG31510	GD18233
CG31515	GD18384
CG31516	GD19698
CG31522	GD19676
CG31523	GD19675
CG31525	GD19732
CR31526	GD17774
CG31528	GD19730
CG31538	GD29507
CG31542	GD19779
CG31546	GD19595
NKCC	GD19613
CG31551	GD19802
CG31559	GD19557
CG31560	GD19853
Osi16	GD19859
CG31601	GD21622
CG31606	GD23506
CG31609	GD23586
CG31612	GD21630
CG31626	GD27774
CG31627	GD24308
sens-2	GD23433
CG31633	GD22559
Oatp26F	GD22561
CG31635	GD22560
CG31636	GD22558
CG31637	GD23416
CG31638	GD23413
CG31642	GD28724
CG31643	GD23379
CG31644	GD22629
DIP-theta	GD22639
CG31648	GD23348
CG31659	GD22911
smog	GD23305
CG31661	GD23101
CG31663	GD22887
CG31664	GD22890
wry	GD23117
CG31673	GD24284
CG31674	GD24286
CG31675	GD24292
CG31676	GD24287
CG31677	GD17799
CG31678	GD21690
Tengl3	GD22856
CG31680	GD29251
CG31681	GD17824
Tengl1	GD22854
CG31690	GD23172
CG31693	GD24340
CG31694	GD22793
CG31697	GD26919
CG31698	GD22771
CG31706	GD22166
DIP-zeta	GD22365
CG31709	GD29288
CG31710	GD22343
CG31712	GD22322
Apf	GD11976
CG31715	GD23680
Cnot4	GD23693
CG31717	GD23668
Ir31a	GD23694
RluA-1	GD22253
mthl15	GD22291
Trim9	GD23717
CG31729	GD23885
CG31730	GD22076
CG31735	GD24026
AspRS-m	GD24088
CG31740	GD27862
CG31741	GD24128
Prosbeta5R2	GD24120
CG31752	GD21805
SoYb	GD22312
CG31759	GD28899
CG31760	GD23825
CG31773	GD22722
fred	GD22721
CG31776	GD23235
CG31777	GD22730
CG31778	GD22731
Acp24A4	Acp24A4
CG31784	GD21880
CG31785	GD21845
CG31787	GD21836
CG31788	GD21837
CG31789	GD24143
CG31797	GD21769
CG31798	GD24199
CG31800	GD21787
CG31802	GD21839
CG31803	GD21873
CG31804	GD27022
CG31805	GD21887
CG31806	GD28184
CG31807	GD21906
CG31812	GD24075
CG31813	GD23916
CG31814	GD22051
CG31815	GD24063
CG31816	GD24061
CG31821	GD28031
CG31823	GD21932
CG31826	GD21939
CG31832	GD28833
CG31848	GD22075
CG31849	GD22083
Naa20B	GD23882
Tap42	GD23892
CG31855	GD23893
t-cup	GD22113
ZnT33D	GD28826
CG31861	GD27531
CG31862	GD23830
CG31867	GD26828
CG31869	GD22225
CG31870	GD23733
CG31871	GD23722
CG31874	GD29562
CG31875	GD22313
Cpr30F	GD22323
CG31882	GD22346
CG31897	GD23544
CG31898	GD23538
Mur29B	GD23528
Spn28Da	GD22458
CG31907	GD22515
CG31908	GD22517
CG31910	GD22546
CG31915	GD27319
CG31922	GD23078
CG31924	GD22913
CG31926	GD23100
CG31928	GD23098
CG31933	GD22892
CG31935	GD22903
CG31949	GD23145
CG31950	GD23192
CG31954	GD22751
CG31955	GD22728
pgant4	GD23236
CG31957	GD22725
TBCC	GD11992
Cda5	GD22994
CG31974	GD22985
CG31975	GD22986
ovm	GD22987
Cap-D3	GD15884
gw	GD24374
CG31997	GD24391
CG31998	GD22007
CG31999	GD28811
CG32000	GD24398
CG32006	GD27269
4E-T	GD24367
CG32017	GD27390
CG32022	GD12966
CG32024	GD14129
CG32026	GD14133
Cpr66D	GD14115
CG32036	GD12917
CG32037	GD12916
CG32039	GD14170
CG32040	GD29057
CG32053	GD12875
CG32055	GD12868
scramb1	GD12867
dpr10	GD12871
Ir67c	GD12862
CG32061	GD14242
Rbfox1	GD14245
CG32066	GD12855
Adi1	GD14255
CG32069	GD12834
CG32075	GD12833
Alg10	GD14291
CG32079	GD14272
IRSp53	GD14289
CG32085	GD12786
CG32086	GD12796
CG32087	GD14326
sunn	GD14325
CG32091	GD14318
CG32095	GD12772
CG32099	GD27900
CG32100	GD14369
CG32102	GD17924
CG32103	GD12723
CG32104	GD12725
Lmx1a	GD14373
CG32106	GD12700
CG32107	GD12691
CG32109	GD14400
CG32110	GD29144
CG32112	GD14399
CG32113	GD14402
CG32115	GD12687
CG32117	GD12689
CG32119	GD12672
CG32121	GD12665
Ptip	GD12637
CG32137	GD14464
saturn	GD14484
meru	GD12532
CG32152	GD28464
CG32161	GD14670
CG32163	GD14648
CG32170	GD17643
CG32174	GD12405
CG32176	GD14705
Ndfip	GD12389
Krn	GD12388
CG32181	GD14726
CG32182	GD14725
Ccn	GD14724
edin	GD14712
CG32187	GD12375
NUCB1	GD12377
CG32191	GD12374
CG32195	GD14745
CG32199	GD14758
CG32201	GD14757
CG32202	GD14764
Spn75F	GD12299
CG32204	GD12315
CG32206	GD12285
CG32212	GD27811
CG32219	GD17217
Csas	GD12235
CG32221	GD14831
CG32225	GD12201
Pex23	GD12202
gogo	GD12205
CG32228	GD14869
CG32232	GD13219
CG32237	GD13226
CG32238	GD13857
CG32240	GD13261
CG32241	GD13257
CG32243	GD13247
CG32246	GD13854
CG32248	GD13848
CG32249	GD13847
PMP34	GD13838
Claspin	GD13837
Gr64f	GD13804
CG32259	GD13809
CG32260	GD13817
CG32262	GD13317
CG32263	GD13316
CG32264	GD13322
CG32266	GD13778
CG32267	GD13326
CG32269	GD13341
CG32270	GD13340
CG32271	GD17603
Drsl1	dro1
CG32277	GD13343
CG32280	GD13732
CG32281	GD13733
Drsl4	dro4
Drsl3	dro3
CG32284	GD13736
Mrtf	GD13375
CG32298	GD13391
CG32299	GD13392
CG32302	GD13676
obst-I	GD13675
zormin	GD17605
CG32313	GD13468
Naa30B	GD13476
CG32320	GD13616
CG32333	GD13602
Atac3	GD25713
CG32344	GD25714
S-Lap2	GD14113
CG32354	GD12990
tut	GD17590
CG32365	GD14036
CG32368	GD14041
CG32369	GD13033
CG32371	GD28116
CG32373	GD14034
CG32379	GD14013
SMSr	GD13061
CG32391	GD13093
CG32392	GD13109
CG32396	GD13960
Cpr65Aw	GD13146
Cpr65Av	GD13147
PVRAP	GD13917
CG32407	GD13913
CG32409	GD13910
QC	GD13170
CG32413	GD13169
vito	GD13176
shep	GD13207
CG32425	GD14897
CG32428	GD12182
CG32432	GD12155
CG32436	GD14954
CG32437	GD14955
SMC5	GD14975
CG32440	GD14956
CG32441	GD17649
Arv1	GD12111
CG32445	GD14983
Atox1	GD14984
CG32447	GD12096
CG32448	GD12084
CG32450	GD15026
SPoCk	GD15051
CG32452	GD15048
CG32457	GD17954
CG32459	GD12051
CG32461	GD12047
CG32462	GD12052
Tengl2	GD22855
mthl8	GD13543
mthl14	GD11003
Usp10	GD13581
CG32483	GD13517
Sk2	GD13722
CG32485	GD13723
CG32487	GD13364
CG32488	GD13365
Cda4	GD15482
CG32507	GD15522
CG32512	GD15508
CG32521	GD27611
parvin	GD17466
Hers	GD29496
CG32532	GD29385
CG32533	GD24459
CG32536	GD15586
CG32537	GD15587
CG32544	GD29395
CG32547	GD28472
CG32548	GD15637
CG32549	GD15638
CG32551	GD27814
CR32553	GD28229
CG32554	GD15661
CG32557	GD15660
CG32563	GD17336
CG32564	GD17335
CG32568	GD17304
TwdlZ	GD28534
TwdlY	GD17303
TwdlX	GD17302
CG32572	GD17301
CG32573	GD17293
Twdlalpha	GD17305
CG32576	GD15758
CG32579	GD17275
CG32590	GD15834
CG32591	GD15827
be	GD17185
dpr8	GD17172
Muc12Ea	GD17169
CG32603	GD28020
AMPdeam	GD26780
CG32631	GD24808
CG32638	GD15907
CG32639	GD15894
CG32642	GD28674
CG32643	GD17095
Mur11Da	GD17092
CG32645	GD17103
CG32647	GD15917
CG32649	GD15912
CG32650	GD15914
CG32651	GD27689
Sec16	GD28935
CG32655	GD15934
Muc11A	GD17064
Drak	GD26963
ssp7	GD16000
CG32668	GD24537
CG32669	GD28418
Atg8a	GD16015
Tango5	GD24543
stx	GD16017
X11Lbeta	GD16984
CG32679	GD16039
CG32681	GD16036
CG32683	GD16033
ZAP3	GD16041
CG32686	GD16038
CG32687	GD16031
Gr9a	GD16971
CG32694	GD24704
CG32695	GD24555
CG32698	GD16965
LPCAT	GD16057
Cubn	GD16058
Erk7	GD16072
Ir8a	GD28895
APC4	GD16927
CG32708	GD16928
CG32712	GD24571
CG32718	GD16861
CG32719	GD16152
CG32720	GD16150
CG32732	GD28230
CG32736	GD28503
CG32750	GD16209
CG32755	GD28977
CG32758	GD16238
CG32762	GD16258
CG32767	GD16266
CG32772	GD16713
Muc4B	GD26894
DIP-alpha	GD16325
ppk8	GD28023
CG32793	GD16623
CG32801	GD16402
CG32803	GD16404
CG32806	GD24727
CG32808	GD24635
CG32811	GD27532
CG32813	GD24714
CG32814	GD16440
CG32815	GD15745
CG32816	GD16483
CG33695	GD23773
CG32832	GD21889
CG32833	GD28909
Dh31-R	GD25770
CG32845	GD25716
CG32846	GD13367
CG32850	GD24403
CG32856	GD20314
CG32944	GD19680
CG32945	GD19669
CG32971	GD29343
CG32982	GD12028
CG32983	GD23570
CG32986	GD23567
CG32987	GD23568
CG32988	GD23569
mRpL27	GD22705
CG33003	GD23284
CG33017	GD11177
CG33051	GD12407
CG33052	GD12406
CG33054	GD12137
CG33056	GD12136
CG33057	GD12992
CG33060	GD14626
CG33061	GD14625
CG33062	GD28010
CG33080	GD16241
CG33082	GD16540
LRP1	GD15368
P5CDh2	GD20905
CG33093	GD18450
Synd	GD19377
CG33095	GD21174
CG33096	GD26850
CG33098	GD18824
CG33099	GD18451
eIF4EHP	GD18325
CG33107	GD18445
CG33108	GD28812
CG33109	GD20442
CG33110	GD20963
CG33111	GD18350
Rtnl1	GD22669
CG33116	GD24219
Victoria	GD21728
CG33120	GD21804
Spn28Db	GD22457
CG33125	GD22813
NLaz	GD22910
CG33127	GD28163
CG33128	GD23099
CG33129	GD22209
CG33136	GD25370
CG33137	GD10946
AGBE	GD10945
CG33140	GD10462
CG33143	GD11681
CG33144	GD25960
GalT1	GD25871
Hs3st-A	GD11407
CG33155	GD10994
CG33156	GD25750
CG33158	GD14641
CG33159	GD13344
CG33160	GD13342
CG33169	GD15055
CG33170	GD15056
CG33172	GD17240
CG33177	GD17191
CG33178	GD17192
beat-IIIb	GD24097
Ranbp16	GD28981
CG33181	GD16906
CG33189	GD20842
sav	GD18409
CheA29a	GD23547
dpy	GD22701
pen-2	GD15440
CG33199	GD10122
VepD	GD11666
dpr11	GD19543
CG33203	GD18008
pxb	GD19035
Mical	GD20744
CG33213	GD18052
CG33225	GD12740
CG33229	GD13558
CG33230	GD29612
CG33233	GD13703
CG33234	GD13704
CG33257	GD14630
CG33260	GD12603
CG33262	GD14433
CG33263	GD12664
Muc68E	GD28325
Urm1	GD13043
CG33278	GD14017
CG33281	GD23220
CG33282	GD23221
CG33284	GD14934
CG33285	GD27918
CG33288	GD14958
ppk5	GD14969
CG33290	GD14972
CG33293	GD29090
CG33299	GD23621
Cpr31A	GD23654
CG33303	GD22265
CG33306	GD22033
CG33307	GD22034
CG33309	GD23982
CG33310	GD28491
CG33322	GD21679
CG33325	GD20850
Sp212	GD20441
CG33333	GD19158
CG33339	GD21094
CG33340	GD21095
CG33341	GD21097
CG33346	GD21377
CheB42a	GD10436
ppk25	GD10437
CG33458	GD11199
CG33459	GD11200
CG33460	GD11136
CG33462	GD11137
CG33463	GD25589
CG33465	GD25596
CG33468	GD25671
CG33469	GD25672
CG33474	GD25984
CG33475	GD25987
dpr7	GD24388
CG33483	GD16763
CG33489	GD12799
CG33490	GD12800
CG33493	GD12854
CG33494	GD18191
U3-55K	GD25649
CG33506	GD25650
ppk13	GD21656
CG33509	GD21657
CG33510	GD21658
CG33511	GD21660
dpr4	GD20657
Nmdar2	GD16419
CG33514	GD13840
dpr3	GD22876
Dop2R	GD27412
Unc-89	GD24982
CG33523	GD13915
PNUTS	GD23053
SIFa	GD24940
Acp53C14c	Acp53C14c
lectin-37Da	GD24201
lectin-37Db	GD24202
upd3	GD26961
CG33543	GD22880
Vkor	GD11216
Rim	GD20205
SmydA-8	GD28044
CG33552	GD27521
form3	GD13991
CG33557	GD16966
mim	GD10290
CG33626	GD10881
CG33627	GD10882
CG33632	GD10896
CG33635	GD22980
CG33639	GD24665
CG33640	GD23904
CG33648	GD23965
Cadps	GD24425
CG33658	GD18263
CG33673	GD22884
CG33679	GD23991
CG33680	GD17868
CG33687	GD14601
CG33690	GD14604
CNMaR	GD14202
CG33702	GD12910
CG33703	GD12911
CG33704	GD11549
CG33721	GD20933
CG33723	GD22355
CG33725	GD14380
CG33766	GD15036
CG33767	GD28607
CG33768	GD15037
CG33769	GD15038
CG33770	GD15039
CG33771	GD15040
CG33772	GD12064
CG33773	GD21555
CG33775	GD25831
CG33783	GD18667
CG33784	GD18668
CG33792	GD26797
CG33798	GD10935
CG33912	GD12168
CG33914	GD10279
CG33926	GD28904
CG33927	GD19664
CG33928	GD21871
CG33958	GD25406
CG33964	GD15405
CG33965	GD29431
CG33966	GD13595
CG33969	GD12195
CG33970	GD21277
Ir62a	GD26880
CG33977	GD26787
CG33978	GD29314
obst-H	GD17570
CG33985	GD12556
CG33986	GD12557
Mid1	GD24924
CG33993	GD13165
CG33995	GD17909
CG33998	GD11406
CG34001	GD14249
NimB3	GD22026
CG34005	GD11333
CG34007	GD24261
CG34008	GD20053
CG34010	GD22447
CG34011	GD23358
CG34012	GD12823
CG34015	GD15748
CG34021	GD10858
CG34025	GD13366
CG34026	GD24776
CG34027	GD18236
CG34028	GD29585
CG34029	GD25157
CG34030	GD13092
CG34033	GD10686
CG34034	GD18507
CG34038	GD11920
CG34039	GD14492
CG34040	GD25163
CG34041	GD21525
CG34043	GD22281
CG34045	GD11445
CG34049	GD22849
CG34051	GD21727
CG34054	GD15251
CG34056	GD13582
CG34057	GD27301
CG40045	GD11958
CG40160	GD22614
CG40191	GD15142
MFS17	GD28494
CG40298	GD26890
CG40439	GD27686
CG40470	GD28678
pain	GD24909
CG15468	GD27229
CG13164	GD25850
HSPC300	GD17870
Nup153	Nup153
CG18003	GD10762
CG33671	GD25827
CG33672	GD25826
CG33786	GD25261
CG33785	GD25260
CG30270	GD18394
Ube3a	GD12813
Zwilch	GD16546
loj	GD13935
endos	GD12636
Ctr1C	GD16719
Ctr1B	GD15144
Ctr1A	GD16812
EMRE	GD25414
Cisd2	GD17906
CG13197	GD10810
CG16984	GD13694
CG31275	GD20269
Gpb5	GD27670
Lasp	GD12448
GstE9	GD11378
GstE4	GD11373
GstE3	GD28233
GstE10	GD25394
CG6006	GD19077
CG40228	GD25376
Kaz1-ORFB	GD13556
GatC	GD22036
CG33713	GD15501
SLIRP1	GD15500
CG33934	GD19336
stg1	GD24883
CG33722	GD18522
RpL5	GD29172
Idgf5	GD11369
CG7600	GD14296
CG31178	GD20903
Arpc3B	GD15703
AlkB	GD24673
ppk16	GD22336
ppk11	GD22335
ppk10	GD22255
GlcAT-I	GD16673
CG33932	GD17463
Rpp20	GD27737
dyl	GD13266
GlcT-1	GD11642
CheB38a	GD21677
Cby	GD20900
LSm-4	GD22261
CG33331	GD18981
CG33332	GD18982
dbr	GD22997
DPCoAC	GD20059
Patj	GD13649
CG33226	GD25190
Porin2	GD22219
CG4681	GD24939
CG41128	GD26817
CG41106	GD17576
CG40498	GD29337
CG40485	GD23342
tmod	GD21531
sprt	GD25902
akirin	GD14010
pps	GD18830
Spn28B	GD23476
Neb-cGP	GD24782
Frq2	GD24687
BG642163	GD28643
RhoU	GD24695
CG34107	GD18676
CG34109	GD23657
lobo	GD18229
CG34113	GD19574
CG34114	GD18728
CG34115	GD11550
CG34116	GD12250
CG34117	GD20802
CG34124	GD23311
CG34125	GD28396
CG34126	GD23317
Nlg3	GD19468
CG34129	BG642287
CG34130	GD27943
Muted	GD20937
CG34133	GD21477
CG34134	GD22436
CG34136	GD24299
dunk	GD27275
CG34138	GD28615
Nlg4	GD19341
CG34140	GD13536
CG34141	GD28809
CG17672	GD14424
Ir10a	GD24536
RunxA	GD15530
mRpL34	GD27374
CG34148	GD18494
CG34149	GD26846
CG34150	GD21132
CG34155	GD27825
Mkp	GD29287
CG41434	GD27176
CG34159	GD22298
CG34161	GD22242
CG34162	GD23782
CG34163	GD23802
CG34164	GD23813
CG34165	GD23973
CG34170	GD21876
CG34171	GD29601
CG34172	GD22869
CG34173	GD29111
CG34174	GD23136
CG34175	GD23226
CG34177	GD28039
CG34178	GD23286
CG34179	GD22603
CG34180	GD27640
CG34181	GD23599
RpS28-like	GD23606
CG34183	GD22332
CG34184	GD11043
CG34185	GD25685
CG34189	GD28529
CG34190	GD28925
Ufm1	GD27293
CG34193	GD11279
CG34194	GD11287
CG34195	GD11308
CG34196	GD11337
CG34199	GD11504
CG34200	GD10384
CG34201	GD11537
CG34202	GD11538
CG34203	GD25212
CG34204	GD11629
CG34205	GD25142
CG34206	GD27975
CG34207	GD28278
CG34210	GD11751
CG34211	GD10393
CG34212	GD28186
CG34213	GD28574
CG34214	GD24929
CG34215	GD27662
CG34216	GD10227
CG34217	GD15289
CG34219	GD10128
CG34220	GD28956
CG34221	GD28351
CG34223	GD10776
CG34224	GD25937
CG34227	GD10779
CG34228	GD10804
CG34230	GD27135
CG34231	GD10830
CG34232	GD25856
CG34234	GD25836
CG34235	GD25781
CG34236	GD25746
CG34238	GD14246
CG34242	GD14385
CG34244	GD12625
CG34245	GD12593
CG34247	GD12500
CG34250	GD14710
CG34251	GD14723
CG34253	GD12354
CG34254	GD27255
Blos3	GD14777
CG34256	GD12313
CG34259	GD13663
CG34260	GD28599
CG34261	GD14939
CG34263	GD29367
CG34266	GD13858
CG34269	GD11018
Cpr65Ay	GD13142
CG34274	GD19039
CG34276	GD19057
CG34277	GD19781
CG34279	GD20235
CG34280	GD27809
CG34282	GD19245
CG34284	GD20147
CG34286	GD20103
CG34287	GD19833
CG34288	GD18458
CG34289	GD18381
CG34290	GD18304
CG34291	GD18136
CG34292	GD29333
CG34293	GD18090
CG34295	GD27137
CG34296	GD21454
CG34297	GD19523
CG34298	GD21491
CG34299	GD21510
CG34300	GD29509
CG34301	GD28716
CG34302	GD28689
CG34305	GD27837
CG34307	GD27399
CG34308	GD27514
CG34310	GD27053
CG34312	GD25782
CG34313	GD24091
Sws1	GD28653
CG34315	GD27821
CG34316	GD18997
CG34317	GD21502
inaF-C	GD15975
inaF-A	GD15973
CG34323	GD17065
CG34324	GD15883
CG34325	GD15732
CG34328	GD28736
Vml	GD16605
CG34337	GD16845
CG34338	GD16860
Drgx	GD23246
Pde11	GD21829
CG34342	GD13195
CG34345	GD23422
CG34347	GD21572
CG34348	GD17011
CG34351	GD23297
CG34353	GD18061
CG34354	GD21365
CG34355	GD21041
bma	GD14227
CG34357	GD19673
shakB	GD24658
Dgk	GD10215
trv	GD21364
Shawl	GD22359
CG34367	GD22269
Fili	GD11632
ppk9	GD17905
CG34370	GD25154
CG34371	GD25075
CG34375	GD18416
CG34376	GD20950
Pvf3	GD22512
Shroom	GD11038
TrissinR	GD23366
CG34382	GD14223
CG34383	GD18927
CG34384	GD19954
dpr12	GD10387
CG34386	GD11335
natalisin	GD18961
Rgk2	GD11394
DIP-delta	GD13887
Epac	GD10302
CG34393	GD22769
nub	GD23844
CG34396	GD11561
Rgk3	GD11581
CG34398	GD23574
Nox	GD11185
CG34401	GD24863
CG34402	GD18825
pan	pan
CG34404	GD20354
NaCP60E	GD11909
Not1	GD10070
CG34408	GD24698
CG34409	GD20765
Lgr4	GD15902
NKAIN	GD11907
spri	GD24547
mute	GD25507
CG34417	GD16804
Snoo	GD22454
htk	GD24861
CG34424	GD11756
CG34425	GD27768
CG34426	GD14128
CG34427	GD29045
CG34428	GD14429
CG34429	GD29369
CG34430	GD10522
CG34431	GD27185
CG34435	GD28198
CG34436	GD21367
CG34437	GD27331
ND-MWFE	GD29026
lmgB	GD22392
CG34442	GD11044
CG34443	GD27912
CG34444	GD26826
CG34445	GD29216
CG34446	GD27304
CG34447	GD17823
CG34448	GD22835
CG34450	GD28651
CG34451	GD12540
CG34452	GD12541
CG34453	GD13530
CG34454	GD27107
Pdxk	GD14171
CG34456	GD11143
